User Location,Rating,Additional Ratings,Review Title,Review Text,Trip Type,Stay Date,Location,Hotel_ID,hotel_name
Remiremont,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Une petite semaine pour découvrir Marseille et ses calanques.,"Tout était parfait, depuis la prise en charge à l’arrivée jusqu’au départ.
Beaucoup d’attention de l’ensemble du personnel. Petits déjeuners parfaits.",FAMILY,31-10-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
Cartagena,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Excelent Service and Exquisite Breakfast with The Best View in Town,"Jorge Hernández made the diference with His profesionalism and excellent care.   
He really loves his job and give all to make you feel the  most  especial guest of the hotel!
Had the most delicius, exquisite , varied  breakfast, that with his EXCELLENT service made our last day in town a memorable One.   Sofitel Marseille Vieux-Port restaurant has  the most privileged and magnificent view of Marseille.  STUNNING!
Thanks Jorge for giving us a great experience that we'll Never forget.    
Hope to visit Marseille and YOU, again.",COUPLES,30-09-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
,3,,Personnel issues.,Very good Breakfast on a breathtaking terrace. Unfortunately the waitress spilled ALL the coffee cup on my polo pants. Jackets and T-shirt under his wet. Leaving we get a discount of 11 € on the bill! Sofitel calls itself a 5-star.,COUPLES,31-10-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
Diest,5,,Very good hotel with good location and nice breakfast,"Very nice hotel with good location, friendly staff and very good breakfast. You have the option to order breakfast a la carte. We had a room with terrace with a beautiful view of the port of Marseille. This hotel is definitely recommended for a stay in Marseille.",FAMILY,30-09-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
Paris,5,,Bravo,"Top staff
Considerate and attentive to find us the best room
Great stay 
Thank you again.
And the restaurant the 3 Strong value for money Award and top service
Excellent spa service
Very good practitioner 
An excellent time",BUSINESS,30-09-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
,2,,"Avoid , until much needed work is done. And then the lie to the MINABLE Reservation","This Inn , which was very nice especially the rooms at reception , with a nice terrace. I booked one of these rooms by calling the Pension telephone number. I was in Barcelona and my interlocutor didn’t know the Inn.
When I arrived obviously, I did not have the room booked. 
On the other hand I was amazed by the carpeted hallway full of stains and the worn walls. The room at the height of the hallway , carpet unstuck, the whole very tired. I wonder how the Accor Group could let this Sofitel get so filthy. There are breaches of trust , already the Reservation , then the quality of the Inn which no longer corresponds to a Sofitel . Too bad because the location is superb , but frankly , you have to dare to rent rooms in this condition. The director agreed to this by giving me a 50% discount. But it's still expensive for a slum.",COUPLES,31-08-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
,4,,Thanks to Mohamed and Anna,"Many thanks to Mohamed carr of the concierge and Anna massage practitioner of the SPA for their kindness, professionalism and sense of service. Nevertheless we are disappointed with some shortcomings during our stay which does not correspond to the standing of a 5 star.
It’s a shame considering the Award because if we had known, we would have stayed at the Intercontinental which is in the same Award range but with exceptional service and facilities.",COUPLES,30-09-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Great Hotel - Even Better Staff!,"Great hotel, perfect location! I stayed here on a quick two-night visit to Marseille by myself and was so glad I chose to stay here.  The location made it easy to explore the city on foot, and waking up every morning to a view of the old port was really nice. 

The staff is amazing - everyone I encountered was friendly and helpful.  In particular, Thomas at the front desk went above and beyond.  He accommodated my morning arrival and graciously let me check in early...even with an upgrade.  I told him it was my first visit to Marseille and was just there for two quick nights, and being able to get settled in the room early so I could explore the city made all the difference.  I'd highly recommend staying here.",SOLO,31-08-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
Dubai,5,,Beautiful,"We spent a week at the Sofitel! Thank you to the entire Sofitel team we had a pleasant stay. 
Special mention to room service, breakfast service, luggage handlers.
The view at breakfast is Beautiful.
See you soon!",FAMILY,31-08-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
,3,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 3
Sleep Quality: 5",Excellent Room but DISAPPOINTING BREAKFAST BUFFET,"Excellent checkin reception, cleanliness very well, clean bathroom with shower, tub and toilet with privacy.
Good sheets without any complaint, where I started my dissatisfaction at breakfast because according to me it was included but in the final reservation did not appear, but that was not the point was that the hours were from 6:30 am to 11:00 AM and arrived with my wife at 10:15 hours and empty trays and did not repulse anything, the waitress with no manners of her own to attend offered a dish à la carte more than 30 minutes brought the cold crepe and complexion, the fried eggs burst the yolk, cold coffee and drained cups was claimed and upset, there was no one to show the food with , I was charged 33 Euros per person and we did not breakfast.
I passed my complaint at the front desk but they ignored me and charged me.
That was my bad experience at the HOTEL I booked an OPERA SUITE.",COUPLES,31-08-2024,Sofitel Marseille Vieux-Port,2,sofitel marseille vieux port (france )
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Elephant,"Excellent it’s a verry verry good location to stay one year. You have 0%100 problem but it’s the nice hotel in the world. The room it’s verry clean and bigg
and the tawells it’s so good Atlantis The Palm it’s the verry good hotel in the.....

                              𝒲𝒪ℛℒ𝒟！",FAMILY,30-11-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
Bedford,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Wow Wow Wow,"What a trip!
We checked into the Atlantis for a 4 night stay, half board. 
Upon arrival, our bags got taken from up and said they would be put in our room upon check in time. 
We checked in and were given Waterpark tickets as we couldn’t enter our room until 15:00. Check in was pretty smooth and was given refreshments. 

When we could check in, our room keys were handed over to us and yes, our luggage was in the room ready and waiting. I had paid for an arrangement to be done as it was my partners birthday. ‘Happy Birthday’ was on the bed in rose petals, with a towel animal which was the cutest, with a cake and card! This was so pretty. 

Our room was amazing. Looked over the aquarium, Atlantis Royale, Atlantis Balloon, in the skyline you could see the Burj Al Arab and Burj Khalifa, it was perfect. 
The room itself was amazing. Big comfy bed and pillows. Lots of storage. TV, mini bar, iron, safe. Big bathroom with free standing bath and amenities. 
The perfect touch was we were turned down every night, slippers at the side of the bed. Glass and water on the bedside table. Pillows and duvet ready. We were even given little gems to go on our chargers. And they tied up the bathroom.

With the hotel stay you get the aquarium tickets included, the aquarium is amazing. Lots of different fish and more to see. Rheymaria at the aquarium spoke to us reguarding a few of the animals which were in the aquarium, showing us skeletons and pieces of the animal, which we could touch and hold. She really made the time to speak to us. 

There are many dining options to choose from night. Whether you choose the buffet option, half board dining option which included a 3 course meal including soft drink or you could pay a supplement charge for some restaurant. We did a mixture of all 3 over our stay. 
Definitely recommend Seafire for a romantic steak night. En Fuego is amazing for its atmosphere and the decorations inside. This is South American themed. 
We also visited The Shore for a tex mex theme, this was one of our favourites. 
We liked to eat at Saffron for breakfast. It was light and airy. Had a nice feel to it. 

A few bars to drink at in the evening. We visited Arabian Terrace, this was a lovely, quiet vibe. 

There is also a cafe located on the G floor of the hotel which sells pastries and sandwiches, with a view of the aquarium. 
If you like a milkshake and ice cream, head to Cold Stone. The milkshakes are unreal!!!

The beach and pool are both amazing. Lots of sun beds at  both, with a towel ready on your bed. You can order food and drink on the app or press the buzzer and the waiter/waitress will take your order from the bed. There are many water fountains located at the beach, pool and water park. 
Watersports are available. Unfortunately it was too hot for us and we didn’t make use of this.

The water park is just amazing. Lockers and towel are available, lockers at a small charge should you wish to rent one. Aqua socks come as complimentary. Photographers around the pools and slides to capture special moments. There is a golf cart which goes around the park if you get too hot walking. Lots of food outlets. 

Lots of shops on site. From designer brands to food and keep sakes. There is a little market also on the ground floor for keepsakes, perfume/aftershave. Jewellery. 

The monorail can be reached from the hotel. It was really cheap for us to get to the Nakheel Mall and they run every 10-15 minutes. You also get good views of the palm whilst onboard. 

We got engaged whilst out in Dubai, and the hotel was amazing.
We were given a box with chocolate strawberries, macaroons and chocolates in the room with a cake.  
Each restaurant we went to they celebrated our engagement with a cake. They really make it special for us. 

I would go back tomorrow if I could. It was the most amazing experience which I didn’t want to end. I hope to be back in the future. 

Thank you Atlantis The Palm",COUPLES,30-09-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
Hamburg,5,,Perfect Stay,"Just perfect ! Waterpark, room, breakfast and dinner was more than expected! 
The hotelbis worth the money, the service is great and all Restaurants are delicious and cosy. 
We enjoyed having a glass of wine in the shisha bar and the kids played in the wavehouse with the computer plays / gaming zone",FAMILY,31-10-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
Vaslui,5,,Awesome!,"The whole experience was just awesome! We spent a week at this resort where we enjoyed the beach,the weather,the food,the drinks and the hospitality of the staff. I will definitely come back some day!",FAMILY,31-10-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
,5,"Value: 4
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Einfach genial nur zu empfehlen,"Einziger Kritikpunkt, dass das Zimmer
nicht wie geplant um 15.00 sondern nach mehrmaligem Nachfragen erst knapp 3 Stunden später fertig war 
Ansonsten alles Tipp Top. Besonders 
zuvorkommend und aufmerksam Hr.Abhijit v. Zimmerservice",FAMILY,31-10-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
,5,,Een fantastisch verblijf voor het gezin,Grote mooie kamers met balkon en met alle benodigdheden die een mens moet hebben! Zeer uitgebreid en lekker ontbijt in The Imperial Club. Heel leuk uitzicht over het hotel en The Palm! Fantastisch waterpark voor groot en klein ; Aquaventure.,FAMILY,30-11-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
,5,,Great choice for families,"Stuff was perfekt , especially Nazir who made our stay even more beautiful. Lot of great restaurants, great facilities, lot of fun things to do for children…………………………………………………………………………………………………………………………………..Really great choice for families",BUSINESS,30-11-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
Northampton,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Everything outstanding!,"We have been traveling to Dubai for years and I have always been put off staying here in the past, having preferred to stay on Jumeirah Beach at the Madinat properties. My son is at an age where he's too old for kids club and won't relax on the beach for long so we finally took the plunge with the water park in mind and booked Atlantis for the October half term. We travelled as a family of 4 and took the overnight flight from the UK which arrived early in the day. Check-in was good and a room was immediately ready. This was good although we did need to pay for breakfast that morning. We had booked on a HB basis. Rooms exceeded expectations. I imagined that they may look dated considering the age of the hotel but I couldn't have been more wrong. The Deluxe/standard room was easily big enough and felt luxurious. We ate breakfast in Saffron each morning which we felt was much nicer than the other buffet restaurant. We tried the Lebanese and Mexican restaurants then also tried Saffron a couple of times at night. They were all superb and I feel that the dining options and quality of food and service rivals that of the Jumeirah - Madinat dine around. The two huge swimming pools were never over crowded. My son enjoyed playing water basketball each day and obviously, access to the waterpark was a huge hit. The new section of the park which connects the residents of The Royal is called Tridents Tower. It has all the latest slides and family rides and is great fun (even for someone who doesn't normally like water parks!) The early access to the park is a big bonus as it gets very busy with non-resident guests as the day goes on. We enjoyed hanging out and around the hotel in the evening, looking in the shops and staring at the aquarium for ages. The gym is good but my only criticism of the hotel is that the gym could be a lot bigger with more equipment. Free weights in particular. It did get very busy in the mornings. I think that considering it would cost a family of 4, £300 waterpark entry and £150 lost chambers aquarium entry, considering all - A stay at Atlantis is good value for money. Its great fun too! Location is really good. Easy to get on and off the Palm and the monorail connect the hotel - 1 stop away to the Nakheel mall which is also worth a visit. Especially the tower. 
If you're considering a stay at Atlantis - go for it. You won't be disappointed.",FAMILY,31-10-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
,5,,Fantastic house keeping,A special mention to Sowpon and all the house keeping team for the fantastic job done daily in the room. The kids loved returning to the room to see what special touches and treats they left for them. Thank you all very much for a fab service as always.,FAMILY,30-11-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
Dansville,5,"Value: 4
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 4",Oasis of Holistic Renewal,"I came seeking relaxation and left feeling completely rejuvenated. The serene atmosphere was like a balm for my stressed-out soul, and the array of wellness options catered to both body and mind. But it wasn't just the facilities that were healing - the entire ethos of the place seemed geared towards nurturing wellbeing. A true sanctuary in every sense.",BUSINESS,31-03-2024,Atlantis The Palm,3,"atlantis the palm,(dubai) (dubai)"
Kent,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",The Best,"Just amazing. This was our first visit to the BAA. Stunning suite with amazing views and the comfiest bed, staff, food, everything was the best. Special shout out to Sardobek who really went above and beyond every morning at breakfast. See you again soon in February!",FAMILY,31-10-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
Eccleshall,5,"Value: 4
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5","Love this place, always have, always will !","Returned to BAA after a break of several years - we had children and it’s not really a young children kind of place in my opinion. The place is almost as it was pre kids, a fantastic experience. 
So what’s changed ? There is no longer a personal connection with the staff who don’t remember your name and treat you as if they have just met you. There have been reductions in the number and size of toiletries etc and finally the technology in the room is very dated and badly needs upgrading - I could watch a rugby match on my phone but not in the room! 
Still love the place and plan to return again this year.  ",NONE,29-02-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
Taipei,5,,The 30-year-old sailing hotel is still beautiful and moving~~,"We went to the sailboat hotel to try their afternoon tea & hotel tour tour, great~~
Afternoon tea is located on the 27th floor (the building height is equal to the 54th floor), elegant, high-end, and the view is very beautiful~
Then continue the tour of the hotel and take a shuttle to enjoy a hotel built on the Mediterranean island,
The hotel's historical museum and the retireed Presidential Suite (currently a museum), when you leave the beach sunrise is about to fall, great~~",FRIENDS,31-10-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
,5,,Good and tasty experience. atmosphere is nice and good vibe I will come as soon.,I feel soo good inside jumbu when I inter inside thakali. The surrounding is so nice and too fine for we people and we enjoyed soo much and have fun by enjoying foods which we order.and the service is also soo good by staff (Shishir). Thank you so much,FRIENDS,31-10-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
,5,,Unforgettable moments in this 7-star hotel,"We went to celebrate our wedding anniversary at the hotel. 

From the moment we checked in to the moment we checked out, the experience provided by the staff, as well as in the restaurants, was incredible. 

We enjoyed Sal and had dinner at Al Mahara, both with very pleasant and different cuisine. 

They were unforgettable moments and we hope to return one day to experience more like them.",NONE,31-10-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
,5,,There is nothing better,"I've always heard about the hotel very well, but I didn't expect it to be absurdly magnificent. Everything is simply fantastic, bedroom, pools, spa, water park, beach club, staff!  Of the desire to stay inside the room and not leave, of so beautiful.
I will definitely stay again!",FAMILY,31-10-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
,5,"Value: 5
Rooms: 5
Location: 4
Cleanliness: 5
Service: 5
Sleep Quality: 5",Delightful!,"The view from the window to the pleasant place is beautiful, on some days you can see the Burj Caliph. But next time I won't overpay for a high floor).
Breakfast was two hours each, on the menu very delicious avocado brusquets, caviar fresh grained, cappuccino on different types of milk.  Today, on the day of departure, I had a special pleasure interacting with the waiter Sardabek - such people always decorate the time spent alone, sort of and breakfast doesn't seem so boring. 

Everything in the room is shiny, perfectly clean space, softest cushions. The elevator is fast, you didn't have to wait long. The staff is perfect, polite and courteous. 

It was three nights, before they got to the beach, by the pool comfortable, relax straight. At the water park, the queues aren't as big as at antlantis, there are a couple of coasters worth standing. Not all the restaurants have hit yet, there's a reason to come back. 

Thank you to the entire hotel team, this is a really beautiful place!",FAMILY,31-10-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
Governador Valadares,5,,Iconic Hosting in the Best Hotel,"First trip to Dubai, I had the opportunity to stay in this iconic 7-star hotel and was worth every second! The suite is indescribable. Classic, elegant, chic, very well cleaned, nice, with amazing views. The bed is surreal of so comfortable. The structure of the hotel is perfect. Just being there to understand. The restaurants are fabulous. I would spend many days in this hotel, for sure. I am grateful for the affection that everyone had with me during my stay, especially my brothers who made my stay even easier. I hope to be back.",SOLO,31-08-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
Liverpool,5,,Exceptional from start to finish,"I have stayed at the BAA a number of times and can honestly say it is the best hotel I have ever had the pleasure of staying in. I have stayed in almost every Jumeirah hotel in Dubai and whilst they have all been amazing none of them can compare to the Burj.

Everything from start to finish is exceptional the staff go above and beyond in every way. Whilst all of the staff where amazing I would like to say a huge thank you to Anaelle who was our designated manager and made our stay extra special and went above and beyond to ensure my family had the perfect trip. I cannot recommend this hotel enough, the best hotel in the world.",FAMILY,31-10-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
,5,"Value: 5
Rooms: 4
Location: 4
Cleanliness: 5
Service: 5
Sleep Quality: 5",Gatsby's Dream Come to Life,"Stepping into this hotel was like entering a time machine to a more glamorous era. The art deco design transported us to the roaring twenties, but with all the modern amenities we could desire. The staff, impeccably dressed in period-inspired uniforms, were the perfect blend of professional and personable. The afternoon tea service in the grand lobby was a delightful throwback, complete with live piano music. It was as if we were living in our own perso",FRIENDS,30-09-2024,Jumeirah Burj Al Arab,4,"burj al arab, dubai (uae)"
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Greet service,"I go often to the sidewalk coffee shop and ghe service there is very good and friendly…especially  Suman takes very good care of the guests. 
They also have a nice Gym and SpA very you can relax. 
I will defenitely come back to this Hotel. I was very happy here.",BUSINESS,30-11-2024,Hyatt Regency Delhi,5,hyatt delhi  (india )
,5,,Tolles SPA mit supernettem Team und köstliches Essen am Buffet,"Tolles Hotel. Super Mitarbeiter. Mega SPA!! 
Ein großes Dankeschön geht an das Team des Spa‘s. Ich hatte die beste Maniküre bei Pooja, die beste Pediküre bei Jimmy und ein sagenhaft schönes Ergebnis bei Frisör Haroon. 
Absolut empfehlenswert!! Vielen herzlichen Dank 🫶🏼 

Und das Essen ist unglaublich köstlich!!",BUSINESS,30-11-2024,Hyatt Regency Delhi,5,hyatt delhi  (india )
,5,"Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5",Thanks for mer. Suresh for very good service,"Good laundry and stitching Im grateful for all my experiences with this team of laundry specially mr suresh the laundry person 
Also L would like to say thank for the hotel admission for their employees selection and their careful preparation",BUSINESS,30-11-2024,Hyatt Regency Delhi,5,hyatt delhi  (india )
Los Angeles,5,,Clean and friendly hotel. A true 5 stars hotel,Beautiful hotel with friendly staff and manager. The hotel food is nice and most importantly is the cleanliness. Treat every guest very polite and good attitude. Mr Dobhal help me out when I check in. Very nice front desk supervisor. Nice Chinese and Italian restaurants in the hotel.,NONE,30-09-2024,Hyatt Regency Delhi,5,hyatt delhi  (india )
,5,,Excellent,"I stayed at the hotel for business and I was very impressed from the beginning. The room was impeccable, all the staff were very friendly, attentive, kind and always happy to help, especially Mr. Madam, from the dining room and Pradeep, who kindly helped me with my luggage when I was checking out.",BUSINESS,31-10-2024,Hyatt Regency Delhi,5,hyatt delhi  (india )
,5,,Nice hotel to stay,"Very nice accommodations and infrastructure. Clean rooms and well equipped. Gym and swimming pool are nice. Various options of restaurants in the hotel, and various alternative options nearby. One low point, Rooms facing the street are noisy at night, with loud music being played. I'm told the ones facing the pool are quiet.",BUSINESS,31-10-2024,Hyatt Regency Delhi,5,hyatt delhi  (india )
Fairbanks,5,,Beautiful stay in New Delhi,"Great hotel. The Hyatt Regency in New Delhi has many different restaurants, bars, and cafes on property. A great gym and full spa. The hotel is absolutely immaculate. The staff is very friendly and accommodating. There is a beautiful outdoor pool area.",BUSINESS,31-10-2024,Hyatt Regency Delhi,5,hyatt delhi  (india )
